block_group_id,population,median_income,ft_count,comp_count,pop_norm,inc_norm,ft_norm,comp_norm,score
484530006012,8681.0,-666666666.0,4.0,3.0,0.9012666112956811,0.0,0.5714285714285714,0.030303030303030304,0.8063524048625792
484530011032,1279.0,-666666666.0,7.0,10.0,0.13278654485049834,0.0,1.0,0.10101010101010101,0.6661722603946441
484530459001,9632.0,95900.0,0.0,0.0,1.0,0.9997689351494345,0.0,0.0,0.6499999999999999
484530303002,1463.0,85156.0,6.0,4.0,0.15188953488372092,0.9997528251906771,0.8571428571428571,0.04040404040404041,0.6410401250880902
484530012004,3571.0,155383.0,4.0,9.0,0.3707433554817276,0.999858126202745,0.5714285714285714,0.09090909090909091,0.6024874471458773
484530449002,8334.0,61307.0,0.0,1.0,0.8652408637873754,0.9997170651007287,0.0,0.010101010101010102,0.5998039992952784
484530468002,7241.0,175577.0,0.0,0.0,0.751764950166113,0.9998884058478629,0.0,0.0,0.5631177325581396
484530308002,1648.0,67692.0,6.0,33.0,0.17109634551495018,0.9997266390105077,0.8571428571428571,0.3333333333333333,0.5598837209302325
484530009024,1808.0,-666666666.0,5.0,25.0,0.1877076411960133,0.0,0.7142857142857143,0.25252525252525254,0.5399400986610289
484530022162,6500.0,90203.0,0.0,0.0,0.6748338870431894,0.9997603928528,0.0,0.0,0.5361918604651162
484539800001,0.0,-666666666.0,6.0,22.0,0.0,0.0,0.8571428571428571,0.2222222222222222,0.5333333333333333
484530007001,1212.0,92941.0,4.0,5.0,0.12583056478405316,0.9997644983132503,0.5714285714285714,0.050505050505050504,0.5288891825229034
484530011012,814.0,118442.0,4.0,3.0,0.08450996677740864,0.9998027354742958,0.5714285714285714,0.030303030303030304,0.5204875792811838
484530442001,6386.0,70939.0,0.0,4.0,0.6629983388704319,0.9997315076847525,0.0,0.04040404040404041,0.519928206483439
484530439002,4642.0,76087.0,1.0,0.0,0.48193521594684385,0.9997392267900841,0.14285714285714285,0.0,0.5186773255813953
484530002043,731.0,127422.0,4.0,3.0,0.07589285714285714,0.9998162004249326,0.5714285714285714,0.030303030303030304,0.5174715909090909
484530011011,846.0,-666666666.0,4.0,6.0,0.08783222591362126,0.0,0.5714285714285714,0.06060606060606061,0.5125594608879492
484530361001,5762.0,216833.0,0.0,0.0,0.5982142857142857,0.9999502666500311,0.0,0.0,0.5093749999999999
484530009022,1975.0,109899.0,3.0,6.0,0.20504568106312293,0.9997899257779383,0.42857142857142855,0.06060606060606061,0.5035841701902748
484530365001,5581.0,208667.0,0.0,0.0,0.5794227574750831,0.9999380222416904,0.0,0.0,0.502797965116279
